,repetition,k,M,N,Time,MSE,MSIE,A_EEE,is_optimal
0,0,10,500,36,0.050168570000096224,7.253517752401133e-05,1.5344016231997396e-05,0.0021126795271324567,1
1,1,10,500,36,0.04735299200001464,7.290894523796974e-05,5.243304527028624e-06,0.0013792143052159592,1
2,2,10,500,36,0.046688701999300974,7.50850147429919e-05,9.35036035633309e-06,0.001008028154059855,1
3,3,10,500,36,0.0445871600004466,7.106197940643065e-05,8.509272468128664e-06,0.0011081686890944777,1
4,4,10,500,36,0.04559838800014404,6.39689620736686e-05,6.979887652063562e-06,0.0015655538850610894,1
5,0,10,1000,76,0.19971587899999577,3.4472534453848146e-05,3.191261897522168e-06,0.0009822197880435832,1
6,1,10,1000,76,0.21333672999935516,3.2283164424755145e-05,4.980978787374895e-06,0.0009267412155391174,1
7,2,10,1000,76,0.21951676500066242,3.970013236186887e-05,3.6713070482346777e-06,0.0011609491932333754,1
8,3,10,1000,76,0.2164170500000182,3.521112369288892e-05,3.3051449907783007e-06,0.0010061789620053176,1
9,4,10,1000,76,0.2130141760007973,3.796981261039479e-05,3.19778695810395e-06,0.001112133816018006,1
10,0,10,10000,794,17.87640261100023,6.177802548201704e-06,2.7964820963007404e-06,0.0010337126474277755,1
11,1,10,10000,794,17.646942890998616,5.581993234393498e-06,3.1816591400229702e-06,0.00092626474544786,1
12,2,10,10000,794,17.655363843001396,5.273411120494383e-06,2.925513604678361e-06,0.0009131573003661932,1
13,3,10,10000,794,17.80649799800085,5.370160710017085e-06,3.580600162734919e-06,0.0009225302524666252,1
14,4,10,10000,794,17.755831807000504,6.542653166420021e-06,2.9566529603752238e-06,0.001055960821718564,1
15,0,10,500,1,0.00669724799990945,0.001699175580045544,inf,0.8981550193140881,0
16,1,10,500,1,0.006633517999944161,0.002532851115545937,0.00010565634375645033,0.0064570678343353815,0
17,2,10,500,1,0.006664709999313345,0.002939446882329878,inf,0.9675977005815597,0
18,3,10,500,1,0.0061411349997797515,0.0019436893974153341,6.791943620823927e-05,0.006132629161028381,0
19,4,10,500,1,0.006129045999841765,0.0022142019493280383,0.00012135434094234673,0.00668642546122861,0
20,0,10,1000,1,0.012160035001215874,0.0024111850326543234,0.00011811280723579168,0.00523293551356743,0
21,1,10,1000,1,0.01200549500026682,0.0024403912632750685,3.031395304184617e-05,0.0034520128132932808,0
22,2,10,1000,1,0.012226156000906485,0.0024587819590049724,6.164416139444495e-05,0.005030145439805629,0
23,3,10,1000,1,0.01266409600066254,0.0022972278083542136,9.08580717121078e-05,0.005139367113991056,0
24,4,10,1000,1,0.012606667000000016,0.0025993825788082916,4.058952136372577e-05,0.003625722738373235,0
25,0,10,10000,1,0.11694347099910374,0.0023593947175744212,1.596003491978534e-05,0.001823763401900388,0
26,1,10,10000,1,0.11650494000059552,0.0024010279942475177,1.2057358068563201e-05,0.0014331206799257444,0
27,2,10,10000,1,0.1152562859988393,0.002444223776266577,6.039714382064966e-06,0.001013736220581669,0
28,3,10,10000,1,0.11598135399981402,0.00250031738281043,1.962638116313376e-05,0.0016667344753975412,0
29,4,10,10000,1,0.1161086290012463,0.0024508247787179416,1.1136421709113198e-05,0.0016576982242947937,0
30,0,10,100000,1,1.2048237870003504,0.0023803364617118084,7.35664955884985e-06,0.0011771275392627014,0
31,1,10,100000,1,1.2211536909999268,0.0024162649474981984,8.62190760161553e-06,0.0013653654720013246,0
32,2,10,100000,1,1.256044223000572,0.002369738525650754,7.801061191387754e-06,0.0016981284319693478,0
33,3,10,100000,1,1.4839770680009678,0.0023918100090096392,4.9996927569949e-06,0.0014097804890314885,0
34,4,10,100000,1,1.4687326670009497,0.002393585822859449,5.4760625776998754e-06,0.0013227092630956365,0
35,0,10,1000000,1,14.820527763999053,0.002377732888245002,5.784155410627878e-06,0.0013904222462239465,0
36,1,10,1000000,1,15.19584948100055,0.0023900880342542126,4.932353912733476e-06,0.0013848090191372075,0
37,2,10,1000000,1,14.7162367539986,0.002374080866676655,5.625768122148433e-06,0.001383230439247248,0
38,3,10,1000000,1,14.46692901699862,0.002400781065728214,5.184478040561916e-06,0.001315958471036962,0
39,4,10,1000000,1,14.599243806000231,0.00238513101035928,4.479321593683236e-06,0.001291546782524435,0
40,0,10,2000000,1,32.48830489000102,0.0023887925338717617,4.803228680595061e-06,0.0012891692553121507,0
41,1,10,2000000,1,34.64000764800039,0.002381463958657832,4.981902981352661e-06,0.001365387855209591,0
42,2,10,2000000,1,32.67227298299986,0.0023836595655898447,4.235171962974893e-06,0.001295915612296941,0
43,3,10,2000000,1,32.87716136800009,0.0023834804453763425,5.3475741534791276e-06,0.0013720056436997087,0
44,4,10,2000000,1,32.660477887000525,0.002384620757014956,5.775545032534041e-06,0.0013630658243780791,0
